Date of Death,Confirmed Deaths,Confirmed Total,Probable Deaths,Probable Total
3/10/2020,0,0,1,1
3/11/2020,0,0,0,1
3/12/2020,0,0,0,1
3/13/2020,0,0,1,2
3/14/2020,0,0,0,2
3/15/2020,0,0,0,2
3/16/2020,0,0,0,2
3/17/2020,0,0,0,2
3/18/2020,2,2,0,2
3/19/2020,1,3,0,2
3/20/2020,2,5,0,2
3/21/2020,2,7,0,2
3/22/2020,4,11,0,2
3/23/2020,6,17,0,2
3/24/2020,9,26,0,2
3/25/2020,7,33,0,2
3/26/2020,9,42,1,3
3/27/2020,15,57,0,3
3/28/2020,15,72,0,3
3/29/2020,25,97,0,3
3/30/2020,27,124,0,3
3/31/2020,28,152,0,3
4/1/2020,36,188,0,3
4/2/2020,41,229,2,5
4/3/2020,38,267,1,6
4/4/2020,38,305,0,6
4/5/2020,68,373,0,6
4/6/2020,80,453,1,7
4/7/2020,71,524,1,8
4/8/2020,100,624,3,11
4/9/2020,112,736,1,12
4/10/2020,108,844,4,16
4/11/2020,120,964,4,20
4/12/2020,114,1078,6,26
4/13/2020,163,1241,8,34
4/14/2020,121,1362,10,44
4/15/2020,175,1537,7,51
4/16/2020,174,1711,6,57
4/17/2020,169,1880,7,64
4/18/2020,168,2048,7,71
4/19/2020,176,2224,4,75
4/20/2020,172,2396,6,81
4/21/2020,161,2557,0,81
4/22/2020,152,2709,0,81
4/23/2020,191,2900,4,85
4/24/2020,198,3098,5,90
4/25/2020,148,3246,0,90
4/26/2020,152,3398,2,92
4/27/2020,161,3559,6,98
4/28/2020,143,3702,4,102
4/29/2020,165,3867,3,105
4/30/2020,143,4010,0,105
5/1/2020,177,4187,1,106
5/2/2020,142,4329,1,107
5/3/2020,138,4467,4,111
5/4/2020,133,4600,1,112
5/5/2020,137,4737,3,115
5/6/2020,138,4875,7,122
5/7/2020,130,5005,3,125
5/8/2020,109,5114,5,130
5/9/2020,105,5219,5,135
5/10/2020,123,5342,1,136
5/11/2020,126,5468,0,136
5/12/2020,114,5582,2,138
5/13/2020,112,5694,0,138
5/14/2020,98,5792,3,141
5/15/2020,117,5909,1,142
5/16/2020,86,5995,3,145
5/17/2020,81,6076,0,145
5/18/2020,90,6166,0,145
5/19/2020,73,6239,2,147
5/20/2020,81,6320,1,148
5/21/2020,64,6384,3,151
5/22/2020,81,6465,0,151
5/23/2020,69,6534,0,151
5/24/2020,57,6591,0,151
5/25/2020,63,6654,0,151
5/26/2020,70,6724,0,151
5/27/2020,61,6785,0,151
5/28/2020,50,6835,0,151
5/29/2020,57,6892,1,152
5/30/2020,56,6948,0,152
5/31/2020,55,7003,1,153
6/1/2020,31,7034,0,153
6/2/2020,46,7080,0,153
6/3/2020,43,7123,0,153
6/4/2020,40,7163,0,153
6/5/2020,22,7185,0,153
6/6/2020,31,7216,0,153
6/7/2020,20,7236,0,153
6/8/2020,2,7238,0,153
