Date,Category,Response,Deaths
6/1/2020,Sex,Male,3345
6/1/2020,Sex,Female,3684
6/1/2020,Hosp,Yes,3865
6/1/2020,Hosp,No,856
6/1/2020,Hosp,Unknown,2314
6/1/2020,Preexist,Yes,3223
6/1/2020,Preexist,No,54
6/1/2020,Preexist,Unknown,3758
6/2/2020,Sex,Male,3368
6/2/2020,Sex,Female,3712
6/2/2020,Hosp,Yes,3906
6/2/2020,Hosp,No,860
6/2/2020,Hosp,Unknown,2319
6/2/2020,Preexist,Yes,3269
6/2/2020,Preexist,No,55
6/2/2020,Preexist,Unknown,3761
6/3/2020,Sex,Male,3392
6/3/2020,Sex,Female,3755
6/3/2020,Hosp,Yes,3931
6/3/2020,Hosp,No,873
6/3/2020,Hosp,Unknown,2348
6/3/2020,Preexist,Yes,3293
6/3/2020,Preexist,No,57
6/3/2020,Preexist,Unknown,3802
6/4/2020,Sex,Male,3410
6/4/2020,Sex,Female,3789
6/4/2020,Hosp,Yes,3957
6/4/2020,Hosp,No,887
6/4/2020,Hosp,Unknown,2357
6/4/2020,Preexist,Yes,3312
6/4/2020,Preexist,No,60
6/4/2020,Preexist,Unknown,3829
6/5/2020,Sex,Male,3429
6/5/2020,Sex,Female,3803
6/5/2020,Hosp,Yes,3973
6/5/2020,Hosp,No,896
6/5/2020,Hosp,Unknown,2366
6/5/2020,Preexist,Yes,3330
6/5/2020,Preexist,No,61
6/5/2020,Preexist,Unknown,3844
6/6/2020,Sex,Male,3452
6/6/2020,Sex,Female,3836
6/6/2020,Hosp,Yes,4006
6/6/2020,Hosp,No,912
6/6/2020,Hosp,Unknown,2371
6/6/2020,Preexist,Yes,3411
6/6/2020,Preexist,No,61
6/6/2020,Preexist,Unknown,3817
6/7/2020,Sex,Male,3462
6/7/2020,Sex,Female,3853
6/7/2020,Hosp,Yes,4018
6/7/2020,Hosp,No,916
6/7/2020,Hosp,Unknown,2382
6/7/2020,Preexist,Yes,3427
6/7/2020,Preexist,No,61
6/7/2020,Preexist,Unknown,3828
